tid,feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9
14462,0.3605560619030914,0.38328668280324496,0.8499571827684026,0.716327611793695,0.04198941040257975,0.23875144660576508,0.9041248183316192,0.07768049140460043,0.8871466771782336,0.8598626363411287
14542,0.8106337198675353,0.3529349810145084,0.9063886605969821,0.5898395682231207,0.6407982437922891,0.22793942156138425,0.40946338711851216,0.1433068501881305,0.570075715501308,0.8181330767083245
13768,0.9928867472886774,0.23120670488725925,0.6576576335952073,0.29337785635292135,0.9885044440772155,0.6914392735529975,0.7449800755251411,0.8840409633619398,0.14460162561330692,0.3154830442586022
14552,0.392804470099099,0.5423786474787882,0.09180306447068576,0.20058823759093136,0.8558804719272419,0.33353444033873114,0.4447735804495023,0.010874841250471001,0.9455737454878862,0.0173535888068741
14676,0.21760985959107104,0.6243946916920438,0.4733486820127871,0.5546136863935441,0.9056070395521376,0.4861161099090612,0.7979840116464544,0.4756404452839832,0.19727305158170227,0.8831796086045108
14787,0.7576945094860346,0.2376375150810911,0.1344820179089613,0.45246948682004284,0.5817322892970275,0.868488898830878,0.35273703009097335,0.7841319268548157,0.014615988298826599,0.33319171148218474
15834,0.6513296252274953,0.7402487727016561,0.4017443375811589,0.22619078697745987,0.8398858687512973,0.9883794089985702,0.051433721346331396,0.1987028308122547,0.1054160666536772,0.8437732828285908
14804,0.9762951213710392,0.8346855386165164,0.03020358430927217,0.5356376642631727,0.819118278217413,0.8474689941616914,0.2272654920968573,0.8813859127483358,0.5157322119886002,0.08362069111172932
14839,0.5246236018300439,0.9211125007252866,0.2911668867420164,0.6317085702882299,0.44857580536401087,0.7807734596054386,0.7856324610495686,0.08534994103579263,0.2012942180914301,0.6901702089423718
14849,0.5585491533130799,0.6153136495575506,0.2092001159058613,0.9307050432949102,0.8312172190730073,0.23322397914499138,0.42622184393293006,0.9511032936469255,0.37076863267351357,0.46407365022393643
14858,0.7943648773006678,0.541673582029599,0.5468497825044922,0.38760610478496194,0.2068845580864782,0.6291223884163836,0.9554397776301778,0.9989020147347767,0.7586203402654536,0.03980927227634645
16371,0.7705287691167466,0.6058257802966135,0.8895365374809958,0.6964726706675571,0.15476285218585617,0.9243124979342899,0.4220751678662963,0.47562505200273153,0.40991391263805577,0.4051320303928472
14170,0.9710731219222922,0.7853638485882999,0.9062498355102532,0.012742003997240903,0.8221010657301254,0.7770906129497054,0.37442105651286606,0.7434759370536327,0.04510018065655452,0.8979663668653833
14268,0.4215760592591252,0.7327525707915101,0.3137348858027672,0.5697719828385525,0.4142888766590971,0.40998780079418495,0.8871625854801495,0.24009052737541636,0.5461076924968662,0.5022303340666955
14445,0.9432067312695922,0.2503163029530884,0.5042286789697643,0.763780755202455,0.3798027770634772,0.8500352592900855,0.2741924081806526,0.878647295581482,0.3122801285768271,0.1714871975051412
14744,0.26765007307702593,0.4100437235123797,0.8506154301807397,0.6522908198910032,0.4812476562461119,0.7219316877871472,0.5322485203965887,0.47919659644056944,0.07905286587832272,0.9287706317838621
14482,0.5136912076447284,0.8874388897159463,0.18121442899375773,0.6766791213790355,0.43806318158849966,0.06543647164060218,0.304658501275643,0.8468428107239644,0.26122689672554267,0.6420307136465692
14488,0.22057629164795445,0.9696328461387715,0.8005998510278809,0.0015267086923143047,0.31244671387544254,0.9994658191859146,0.09949044101539695,0.3636992409420047,0.4124334799164754,0.7048801226772229
14513,0.03464811193849715,0.6210688090847459,0.815722738036466,0.34807400553288614,0.2659918929622783,0.07270547161861207,0.12834590017318193,0.37481446023942844,0.423164739193133,0.36519237598068877
14648,0.3210672527894879,0.7329623947675411,0.8542747131586085,0.5751197288101998,0.24603019807657167,0.3925200251190626,0.5551514797079634,0.15362842562109957,0.9607540795762558,0.31348983138678377
14659,0.32363907523069013,0.11336701056752396,0.6593023786691017,0.26565507362632224,0.5981575214121094,0.44007295681060676,0.586099389005387,0.1327180244882581,0.7039364006284001,0.742711259842804
14689,0.5503006855561413,0.24755806986114925,0.8358191718209685,0.10727145387381254,0.4594103652985698,0.3450714902161879,0.8480676783950749,0.7318104750440579,0.4066428199444746,0.09548387329214758
14690,0.9829340163983145,0.49024969169895527,0.7395974395065728,0.9236354537720601,0.32781626494761906,0.46897192570381807,0.45600769833681387,0.2817462747166958,0.3965138804007806,0.9308678035975041
